8	-1.477180	0.002507	10000	0.500000	10.409284
10	-1.628366	0.005163	2000	0.500000	51.150079
12	-1.745319	0.010565	400	0.500000	302.871008
14	-1.842407	0.021634	80	0.500000	1990.418721
8	-1.379445	0.003148	10000	1.000000	7.424043
10	-1.604462	0.007226	2000	1.000000	36.207338
12	-1.798491	0.016494	400	1.000000	210.467846
14	-1.991000	0.036139	80	1.000000	1933.255742
8	-1.404959	0.004215	10000	2.000000	7.328877
10	-1.705730	0.010366	2000	2.000000	34.034323
12	-1.949908	0.024580	400	2.000000	190.178691
14	-2.219446	0.058120	80	2.000000	1578.396348
8	-1.439395	0.005028	10000	4.000000	6.995386
10	-1.788415	0.012780	2000	4.000000	30.397109
12	-2.061157	0.030728	400	4.000000	164.303443
14	-2.366411	0.075294	80	4.000000	1364.543395
